Stock,ARIMA_RMSE,LSTM_RMSE,Hybrid_RMSE
CIT,81.58706391167469,28.094707426527354,85.82661406464584
DDBL,57.94442799920373,24.37173139497354,62.160141375129605
GBBL,21.815046263920063,6.783642035044546,23.369893611572913
ICFC,32.39818660137738,14.63677615561569,30.604844953366662
KKHC,23.896896205451213,10.09488375449643,25.92792757323336
NABIL,22.787171536277793,7.94218411394901,23.59368077891378
NLIC,81.26921566754638,22.93235218548659,83.61608439874705
PRIN,135.28095461328314,18.782868819509925,143.051321360069
SHL,54.637631949862886,16.940545990330307,61.481829039433514
STC,256.8276432201593,172.95944269266442,261.68621639738063
UNL,795.8029143723637,602.5054108466711,851.1647545241902
