Stock,ARIMA_MAE,ARIMA_RMSE,LSTM_MAE,LSTM_RMSE,HYBRID_MAE,HYBRID_RMSE,ARIMA_R2,LSTM_R2,HYBRID_R2
CIT,75.40633339291666,87.01123520210429,17.923742258476445,23.207270076317453,89.33649911382064,97.32158456241788,0.9042,0.8223,0.9042
DDBL,47.55831458819755,58.97130405675014,12.780858272793472,14.787914693558251,52.57805455199194,63.41881326934314,0.9599,0.8979,0.9599
GBBL,16.73907876786787,22.77083437936673,6.703832207260311,7.809190534948364,19.964209393697896,25.560303560742778,0.9003,0.6046,0.9003
ICFC,26.62674903092559,32.06520551218969,16.592645820423176,18.31500606648321,24.04405540384225,28.802085116586294,0.8667,0.6582,0.8667
KKHC,18.450957340068605,24.90252642051294,3.817209949871637,6.499321601906388,20.191912123425137,26.833877564885924,0.9186,0.7807,0.9186
NABIL,16.005893535984953,21.94270165497384,4.296025075939492,6.021632259979246,19.517853040466868,24.83982614658567,0.9064,0.6696,0.9064
NLIC,41.44456765972186,49.79287004742847,10.763233919987163,14.603327051537002,43.617748392780655,52.01942717434248,0.8541,0.3103,0.8541
PRIN,106.32770238253909,119.19684838198584,13.502210182699628,16.914174138957627,120.7093983435141,130.80440894755088,0.96,0.8568,0.96
SHL,45.02976845512482,51.86302455237156,6.129182388461626,8.960674548110763,53.35105572438288,56.63363624953454,0.9112,0.3052,0.9112
STC,234.5232542128783,282.5367990096046,72.55017655586067,89.42156054287794,220.05212283116492,270.1623714296228,0.8832,0.7226,0.8832
UNL,1044.3912762172536,1288.86655319577,370.4838854461757,504.2953122594174,1087.656632574559,1335.292229142893,0.4926,0.3022,0.4926
